country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Spain,ESP,1/20/2021,1025937,1010295,15642,59840,63471,2.19,2.16,0.03,1358,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
Sweden,SWE,1/20/2021,,,,,12013,,,,1189,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,1/20/2021,,,,,10984,,,,1269,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
Turkey,TUR,1/20/2021,1052493,,,101858,150356,1.25,,,1783,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
United Arab Emirates,ARE,1/20/2021,2161150,1911150,250000,95783,109510,21.85,19.32,2.53,11072,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
UK,GBR,1/20/2021,5437284,4973248,464036,366919,297294,8.01,7.33,0.68,4379,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
USA,USA,1/20/2021,16525281,14270441,2161419,817693,892403,4.94,4.27,0.65,2668,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Argentina,ARG,1/21/2021,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,1/21/2021,108252,105038,3214,19357,11270,1.2,1.17,0.04,1251,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Bahrain,BHR,1/21/2021,,,,,5457,,,,3207,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
Belgium,BEL,1/21/2021,198517,197805,712,29066,15497,1.71,1.71,0.01,1337,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Bermuda,BMU,1/21/2021,,,,,209,,,,3356,Pfizer/BioNTech,Government of Bermuda,https://www.gov.bm/sites/default/files/COVID-19%20Vaccination%20Updates.pdf
Brazil,BRA,1/21/2021,136519,136519,,107976,27304,0.06,0.06,,128,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Bulgaria,BGR,1/21/2021,25251,20719,4532,1124,1081,0.36,0.3,0.07,156,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,1/21/2021,706464,,,220725,56525,1.87,,,1498,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
Cayman Islands,CYM,1/21/2021,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
Chile,CHL,1/21/2021,62822,54458,8364,8786,6328,0.33,0.28,0.04,331,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
China,CHN,1/21/2021,,,,,770755,,,,535,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Costa Rica,CRI,1/21/2021,,,,,2103,,,,413,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Croatia,HRV,1/21/2021,,,,,3343,,,,814,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
Cyprus,CYP,1/21/2021,,,,,996,,,,1137,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
Czech Republic,CZE,1/21/2021,181111,171776,9335,16512,11445,1.69,1.6,0.09,1069,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,1/21/2021,191521,182205,9316,3904,5865,3.31,3.15,0.16,1013,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
Ecuador,ECU,1/21/2021,0,0,,,,0,0,,,Pfizer/BioNTech,Government of Ecuador,https://drive.google.com/file/d/1HRz845fa451ZHJmxSDlJAD92CAr75VFs/view
Estonia,EST,1/21/2021,21985,,,1507,1015,1.66,,,765,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
Finland,FIN,1/21/2021,78300,,,16239,6467,1.41,,,1167,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
France,FRA,1/21/2021,850380,850380,,141407,77739,1.25,1.25,,1146,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,1/21/2021,1581563,1438566,142997,94165,83504,1.89,1.72,0.17,997,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,1/21/2021,7947,7947,,930,527,23.59,23.59,,15642,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1357291680366555137
Greece,GRC,1/21/2021,125928,123667,2261,16097,7853,1.21,1.19,0.02,753,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,1/21/2021,144798,138983,5815,6214,5581,1.5,1.44,0.06,578,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
Iceland,ISL,1/21/2021,,,,,312,,,,914,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,1/21/2021,1043534,,,237050,173922,0.08,,,126,"Covaxin, Oxford/AstraZeneca",Ministry of Health,https://www.mohfw.gov.in/
Indonesia,IDN,1/21/2021,,,,,13200,,,,48,Sinovac,Ministry of Health,https://www.kemkes.go.id/
Ireland,IRL,1/21/2021,,,,,6528,,,,1322,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle Of Man,IMN,1/21/2021,3558,,,,,4.18,,,,Pfizer/BioNTech,Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
